Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
feorh	1	0	0	1	0	1	0	0	0	0	0
landa	0	0	0	0	1	1	1	0	0	0	0
lifes	1	0	0	0	1	0	1	0	0	0	0
heofonrices	0	2	0	0	0	0	0	1	0	0	0
man	0	1	0	0	0	0	0	0	1	1	0
micle	0	1	0	0	1	0	0	0	0	1	0
mihtig	0	0	0	1	0	2	0	0	0	0	0
wer&thorn;eode	2	0	0	0	1	0	0	0	0	0	0
h&aelig;fde	0	0	0	1	0	0	1	0	0	1	0
milde	3	0	0	0	0	0	0	0	0	0	0
grund	1	0	0	0	1	1	0	0	0	0	0
fram	0	0	0	0	1	0	0	1	1	0	0
gesceod	0	0	0	0	0	0	0	1	0	2	0
&thorn;eodne	0	0	1	1	0	0	0	0	1	0	0
sine	0	1	0	0	0	0	0	2	0	0	0
m&aelig;gen	1	1	0	0	0	0	0	0	0	0	1
gerynu	0	0	1	0	0	0	0	0	0	0	2
ofn	0	0	0	1	2	0	0	0	0	0	0
feran	1	0	0	0	0	0	0	1	0	0	1
wylm	0	0	0	1	1	0	0	1	0	0	0
hluttor	2	0	0	0	0	1	0	0	0	0	0
gesceafte	1	0	1	0	0	1	0	0	0	0	0
fyre	1	0	0	0	0	1	1	0	0	0	0
miht	0	0	0	0	0	2	0	0	0	0	1
gasta	0	0	0	1	1	1	0	0	0	0	0
oferhyd	0	0	0	0	0	0	0	1	0	2	0
an	0	0	1	0	1	0	0	0	1	0	0
are	2	0	0	0	0	0	1	0	0	0	0
tosomne	0	0	1	0	0	0	0	2	0	0	0
telgum	0	0	0	0	0	0	0	2	1	0	0
heriges	0	1	0	1	0	0	0	0	1	0	0
usic	1	0	0	0	1	1	0	0	0	0	0
nales	1	0	1	0	0	0	1	0	0	0	0
dome	0	0	1	0	0	0	0	1	1	0	0
hw&aelig;&thorn;ere	0	0	0	2	0	0	0	0	1	0	0
woldon	0	1	0	0	0	0	0	1	1	0	0
halige	0	1	0	0	1	0	0	1	0	0	0
willan	2	0	0	0	1	0	0	0	0	0	0
nergend	0	0	0	0	0	2	1	0	0	0	0
&thorn;inne	1	0	1	0	0	1	0	0	0	0	0
lare	0	1	0	0	0	0	1	0	0	1	0
foldan	0	0	0	0	0	0	0	2	1	0	0
noldon	0	0	0	3	0	0	0	0	0	0	0
wiston	0	0	0	2	0	0	0	1	0	0	0
secgan	0	0	2	0	0	0	0	0	1	0	0
meotod	3	0	0	0	0	0	0	0	0	0	0
engles	1	0	0	0	0	0	0	0	0	0	2
welan	0	0	0	0	0	0	0	0	0	2	1
susl	0	0	0	0	0	0	0	1	0	2	0
gold	0	0	0	1	0	0	0	0	0	1	1
swylce	1	0	0	0	0	0	0	2	0	0	0
reste	0	0	2	0	0	0	0	0	0	1	0
liges	1	0	0	0	2	0	0	0	0	0	0
annanias	0	0	1	0	0	1	1	0	0	0	0
wuldorf&aelig;st	2	0	0	0	1	0	0	0	0	0	0
frecne	0	0	0	2	1	0	0	0	0	0	0
golde	0	1	0	2	0	0	0	0	0	0	0
fri&thorn;e	0	1	0	0	0	0	1	0	0	0	1
wiste	1	0	1	0	0	0	0	0	0	1	0
burhsittendum	0	0	0	0	0	0	0	0	0	1	2
d&aelig;g	1	0	1	0	0	1	0	0	0	0	0
metode	0	1	1	0	0	0	1	0	0	0	0
wereda	0	0	1	1	0	1	0	0	0	0	0
&aelig;&thorn;elinge	0	0	0	0	0	0	0	1	1	1	0
andswarode	0	0	1	1	0	0	0	0	0	0	1
hade	0	0	0	0	0	2	1	0	0	0	0
for&thorn;on	2	0	0	0	0	0	0	1	0	0	0
let	0	1	0	0	0	0	0	0	0	1	1
sylfa	1	0	0	0	1	0	1	0	0	0	0
s&aelig;gde	0	0	1	0	0	0	0	0	0	2	0
swefn	0	0	1	0	0	0	0	1	0	1	0
help	1	0	0	0	2	0	0	0	0	0	0
&aelig;f&aelig;ste	0	0	1	0	2	0	0	0	0	0	0
onget	0	0	0	0	0	0	0	2	0	1	0
wealde&thorn;	0	0	0	0	0	0	0	1	0	0	1
hat	1	0	0	0	0	1	0	0	0	0	0
fea	1	0	0	0	0	1	0	0	0	0	0
gecy&thorn;de	0	0	0	0	0	0	1	0	0	0	1
bletsian	1	0	0	0	0	1	0	0	0	0	0
gehwearf	0	0	1	0	1	0	0	0	0	0	0
gleaw	0	0	0	1	0	0	0	0	0	0	1
byman	0	0	0	2	0	0	0	0	0	0	0
wundrum	0	0	1	1	0	0	0	0	0	0	0
rodera	1	0	0	0	0	0	0	1	0	0	0
grim	0	0	0	1	0	0	0	1	0	0	0
fyrndagum	1	0	0	0	0	1	0	0	0	0	0
eorl	2	0	0	0	0	0	0	0	0	0	0
gehwylc	2	0	0	0	0	0	0	0	0	0	0
weras	0	0	1	1	0	0	0	0	0	0	0
siendon	0	0	0	0	2	0	0	0	0	0	0
beswac	0	1	0	0	0	0	0	0	0	0	1
hleo	0	0	0	0	0	0	0	0	1	0	1
gylpe	0	0	0	0	0	0	0	0	0	2	0
hwurfon	0	0	0	0	1	0	1	0	0	0	0
wuldorhoman	2	0	0	0	0	0	0	0	0	0	0
bradne	1	0	0	0	0	1	0	0	0	0	0
genamon	0	0	0	0	0	0	0	0	0	0	2
swi&thorn;	1	0	0	0	1	0	0	0	0	0	0
heanne	1	0	0	0	0	0	1	0	0	0	0
west	0	2	0	0	0	0	0	0	0	0	0
hyran	0	0	1	1	0	0	0	0	0	0	0
settend	1	0	0	0	0	1	0	0	0	0	0
blace	1	0	0	0	0	1	0	0	0	0	0
wedere	1	0	0	0	0	1	0	0	0	0	0
windig	1	0	0	0	0	1	0	0	0	0	0
englas	1	0	0	0	0	1	0	0	0	0	0
anhydig	1	0	0	0	0	0	0	0	1	0	0
werum	0	0	0	0	0	0	0	0	0	0	2
lif	1	0	0	0	1	0	0	0	0	0	0
nis	0	0	0	0	0	0	1	0	1	0	0
heapum	1	0	0	0	1	0	0	0	0	0	0
wyrd	0	0	0	0	0	0	0	1	0	1	0
anra	1	0	0	0	0	1	0	0	0	0	0
grome	0	0	0	1	0	0	0	0	0	0	1
freobearn	0	0	0	0	2	0	0	0	0	0	0
gesceode	0	0	0	0	0	0	0	0	1	1	0
drugon	1	0	0	0	1	0	0	0	0	0	0
feorhnere	0	0	0	0	0	1	0	1	0	0	0
cyme	0	0	0	0	0	0	0	1	1	0	0
ut	0	1	0	0	0	0	1	0	0	0	0
wig	0	1	0	1	0	0	0	0	0	0	0
leas	0	0	0	0	1	0	0	0	0	1	0
sunu	1	0	0	0	0	0	1	0	0	0	0
wildu	0	0	0	0	0	0	1	0	1	0	0
wur&thorn;edon	0	0	0	1	1	0	0	0	0	0	0
findan	0	0	1	0	0	0	0	0	0	1	0
gewittes	0	0	0	0	0	0	0	0	1	1	0
merestreamas	1	0	0	0	0	0	0	1	0	0	0
re&thorn;e	0	0	1	1	0	0	0	0	0	0	0
heahcyning	0	0	0	0	0	0	1	0	0	1	0
hold	0	1	0	0	0	0	1	0	0	0	0
herede	1	0	0	0	1	0	0	0	0	0	0
gleda	1	0	0	0	0	0	0	1	0	0	0
israhela	1	1	0	0	0	0	0	0	0	0	0
gedydon	0	0	0	1	1	0	0	0	0	0	0
folce	0	1	0	0	0	0	1	0	0	0	0
sundor	1	0	0	0	0	1	0	0	0	0	0
la&thorn;e	0	0	0	0	1	0	1	0	0	0	0
alwihta	0	1	0	0	1	0	0	0	0	0	0
bletsia&thorn;	1	0	0	0	0	0	1	0	0	0	0
onwoc	0	0	1	0	0	0	0	1	0	0	0
sinra	0	1	1	0	0	0	0	0	0	0	0
&aelig;rest	0	0	1	1	0	0	0	0	0	0	0
weorcum	1	1	0	0	0	0	0	0	0	0	0
abrahame	1	0	0	0	0	1	0	0	0	0	0
